Modularity,M Size,Keywords,LCM,LCM Size,Sim
51,20,"['aug', 'aug', 'aug', 'knee', 'knee', 'tottenham', 'r3', 'dann', 'cabay', 'aug']",84,19,"['aug', 'aug', 'aug', 'knee', 'knee', 'tottenham', 'r3', 'aug', 'knee', 'knee']",0.974679434481
114,16,"['bitcoin', 'bitcoin', 'bitcoin', 'bitcoin', 'kabila', 'wright', 'spacey', 'wright', 'bitcoin', 'wright']",1,7,"['bitcoin', 'bitcoin', 'wright', 'wright', 'bitcoin', 'bitcoin', 'bitcoin', 'mascot', 'nakamoto', 'bitcoin']",0.566946709514
144,12,"['throne', 'jon', '“r', 'tyrel', 'j”', 'sansa', 'dani', 'jaim', 'hodor', 'lyanna']",87,805,"['gingham', 'necklac', 'dada', 'dragon', 'stubbl', 'homer', 'trevelyan', 'kenzo', 'frodo', 'wed']",0.0813956927556
80,11,"['chibok', 'chibok', 'haram', 'giwa', 'boko', 'nkeki', 'boko', 'haram', 'chibok', 'boko']",10,11,"['badreddin', 'chibok', 'badreddin', 'chibok', 'nkeki', 'badreddin', 'hezbollah', 'chibok', 'hezbollah', 'boko']",0.636363636364
44,8,"['ufc', 'mayweath', 'mcgregor', 'ufc', 'editor', 'mcgregor', 'mullin', 'ufc', 'ufc', 'editor']",81,76,"['antibiot', 'oxygen', 'mayweath', 'fistula', 'baka', 'mbsr', 'diabet', 'vertigo', 'transplant', 'mayweath']",0.0405553552827
57,8,"['3x3', '3x3', '3x3', '3x3', '83', '83', '83', '83', 'grid', 'grid']",0,4,"['3x3', '3x3', '3x3', '3x3', 'grid', 'grid', 'grid', 'grid', 'puzzl', 'puzzl']",0.707106781187
141,8,"['climb', 'climber', 'climber', 'coxsey', 'climber', 'everest', 'everest', 'everest', 'sherpa', 'climb']",9,4,"['climber', 'climber', 'climber', 'everest', 'everest', 'sherpa', 'sherpa', 'everest', 'arnold', 'summit']",0.707106781187
33,7,"['alicia', 'cum', 'celia', 'alicia', 'travi', 'madison', 'nick', 'alicia', 'zombi', 'travi']",87,805,"['gingham', 'necklac', 'dada', 'dragon', 'stubbl', 'homer', 'trevelyan', 'kenzo', 'frodo', 'wed']",0.0666074863029
142,7,"['bha', 'bha', 'bha', 'bha', 'lohn', 'bha', 'lohn', 'bha', 'bha', 'disciplinari']",12,18,"['bha', 'bha', 'bha', 'hekmatyar', 'bha', 'lohn', 'mansoor', 'mansoor', 'firoza', 'bha']",0.623609564462
155,7,"['harari', 'robot', 'robot', 'zora', 'robot', 'capit', 'deblieck', 'em', 'ubi', 'robot']",120,21,"['bt', 'window', 'window', 'window', 'tablet', 'v8', 'router', 'app', 'upgrad', 'tablet']",0.0824786098842
137,6,"['gustav', 'mattia', 'gustav', 'tremain', 'mattia', 'gustav', 'magnu', 'sofia', 'anton', 'verita']",87,805,"['gingham', 'necklac', 'dada', 'dragon', 'stubbl', 'homer', 'trevelyan', 'kenzo', 'frodo', 'wed']",0.0719443078836
176,6,"['dress', 'yellow', 'yellow', 'dress', 'azaelea', 'carpet', 'ball', 'umpir', 'ref', 'lawri']",6,857,"['g', 'season', 'kooiman', 'temperley', 'pite', 'mourinho', 'knox', 'itoj', 'curri', 'warnock']",0.0557819837946
55,5,"['anag', 'anag', 'anag', 'anag', 'def', 'def', 'anag', 'd', 'rev', 'meddlesom']",117,7,"['anag', 'religion', 'anag', 'anag', 'anag', 'def', 'def', 'anag', 'd', 'christian']",0.845154254729
68,5,"['princ', 'windsor', 'harri', 'hors', 'delud', 'kate', 'tesco', 'pippa', 'enfield', 'fool”']",104,76,"['gchq', 'lyst', 'app', 'instagram', 'mulkentin', 'møller', 'browser', 'tech', 'thiel', 'kadyrov']",0.0512989176043
223,5,"['ilga', 'lgbti', 'azerbaijan', 'lgbti', 'convict', 'intersex', 'lgbti', 'convict', 'expung', 'homosexu']",13,458,"['ridsdal', 'curfew', 'bundi', 'uae', 'ghomeshi', 'wolverin', 'ratner', 'freita', 'bahá’í', 'lupidi']",0.0626907569293
2,4,"['adelaid', 'adelaid', 'flare', 'flare', 'aleagu', 'kamau', 'adelaid', 'wander', 'adelaide’', 'aleagu']",6,857,"['g', 'season', 'kooiman', 'temperley', 'pite', 'mourinho', 'knox', 'itoj', 'curri', 'warnock']",0.0512390239264
4,4,"['desnard', 'day’', 'you’v', 'rien', 'sue', 'desnard', 'job', 'bore', 'wa', '£280000']",73,711,"['vegan', 'potti', 'tattoo', 'alix', 'rat', 'valentino', 'chat', 'antonia', 'therapist', 'throne']",0.0562543950463
8,4,"['coloni', 'ship', 'ship', 'boston', 'lime', 'bagley', 'cook’', 'endeavour', 'archaeologist', 'build']",67,188,"['hatoum', 'barrow', 'thorp', 'mcdowel', 'hodgkin', 'fisk', 'grotto', 'kwouk', 'binchi', 'whicker']",0.0729324957489
39,4,"['whale', 'whale', 'whale', 'sperm', 'whale', 'kemper', 'sperm', 'anim', 'teeth', 'pygmi']",71,2,"['whale', 'whale', 'sperm', 'sperm', 'pygmi', 'dwarf', 'dwarf', 'beach', 'strand', 'rare']",0.707106781187
78,4,"['hut', 'cabin', 'hostel', 'whitstabl', 'oakley', 'cottag', 'hut', 'selfcat', 'sleep', 'lake']",39,30,"['lamprey', 'leopard', 'crocodil', 'mascara', 'aruba', 'abv', 'cleethorp', 'cabin', 'nile', 'crocodil']",0.182574185835
79,4,"['furi', 'tyson', 'furi', 'furi', 'furi', 'tyson', 'hi', 'heavyweight', 'klitschko', 'tyson']",87,805,"['gingham', 'necklac', 'dada', 'dragon', 'stubbl', 'homer', 'trevelyan', 'kenzo', 'frodo', 'wed']",0.0352453688425
84,4,"['marcella', 'marcella', 'cullen', 'marcella', 'marcella’', 'marcella’', 'henri', 'killer', 'marcella', 'jason']",87,805,"['gingham', 'necklac', 'dada', 'dragon', 'stubbl', 'homer', 'trevelyan', 'kenzo', 'frodo', 'wed']",0.070490737685
90,4,"['shriver', 'mandibl', 'mandibl', 'shriver', 'grandpa', 'mandibl', 'luella', 'florenc', 'shriver’', 'enola']",87,805,"['gingham', 'necklac', 'dada', 'dragon', 'stubbl', 'homer', 'trevelyan', 'kenzo', 'frodo', 'wed']",0.0352453688425
93,4,"['newman', 'newman', 'hannay', 'newman', 'bleiji', 'so15', 'bleiji', 'solicitor', 'newman', 'ccc']",13,458,"['ridsdal', 'curfew', 'bundi', 'uae', 'ghomeshi', 'wolverin', 'ratner', 'freita', 'bahá’í', 'lupidi']",0.0934538627032
122,4,"['zoë', 'charli', 'awkward', 'lizzi', 'abouthow', 'ryan', 'stephen', 'headstand', 'scott', 'wordsfunni']",97,171,"['pelé', 'warcraft', 'toy', 'halloween', 'hathaway', 'lego', 'comic', 'wareheim', 'mcavoy', 'wright']",0.15294382258
123,4,"['constanc', 'wife', 'constanc', 'say', 'sisterinlaw', 'shorts”', 'say', 'say', 'say', 'digniti']",73,711,"['vegan', 'potti', 'tattoo', 'alix', 'rat', 'valentino', 'chat', 'antonia', 'therapist', 'throne']",0.0562543950463
