Topic NO;NO Docs;Keywords
163;2;['monday', 'it’', 'elsa', 'giveelsaagirlfriend', 'frozen', 'disney', 'giveelsaagirlfriend—', '1', 'princess', '2016']
183;2;['radio', 'bauer', 'competit', 'orion', 'kerrang', 'midland', '•', 'sock', 'globalgmg', 'regul']
194;2;['willett', 'peri', 'mccarthi', 'labor', 'territori', 'nova', 'nt', 'wentworth', 'golf', 'northern']
204;2;['nepal', 'contracept', 'nanchang', 'plan', 'wed', 'kathmandu', 'famili', 'parti', 'constitut', 'communist']
222;2;['mariana', 'trench', 'kittiwak', 'nest', 'okeano', 'noaa', 'seabird', 'kelley', 'deepsea', 'egg']
4;1;['minecraft', 'minigam', '4j', 'xbox', 'map', 'potion', 'battl', 'walkway', 'playstat', 'player']
31;1;['mezcal', 'partida', 'agav', 'tequila', 'liquor', '“mezcal”', 'mezcalero', 'flavor', 'produc', 'mexico’']
42;1;['ladyboy', 'rattanarak', 'thailand', 'thai', 'syre', 'cabaret', 'superstar', 'transgender', 'perform', 'say']
51;1;['arch', 'oak', 'slave', 'vale11', 'die12', 'girlswhat', 'bill6', 'cap2', 'manzanilla', 'hojiblanca']
57;1;['wodehous', 'rothschild', 'bolling', 'prize', 'pg', 'everyman', 'gruntled”', 'wooster', 'novel', 'novelist']
122;1;['godier’', '“cast', 'page', 'g2', '•', 'error', 'sheppard’', 'follower’', 'misattribut', '‘cast']
130;1;['chanel', 'lagerfeld', 'cuba', 'cuban', 'fashion', 'bundchen', 'karl', 'paradi', 'beret', 'diss']
136;1;['natal', 'albanes', 'di', 'casey', 'green', 'grayndler', 'seat', 'petersham', 'farrellpf', 'campaign']
137;1;['seafood', 'certifi', 'fish', 'certif', 'sustain', 'aquacultur', 'stewardship', 'msc', 'develop', 'market']
144;1;['dr', 'professor', 'andrew', 'smith', 'simon', 'richard', 'ann', 'robert', 'david', 'houlbrook']
153;1;['julian', 'podolski', 'kimmich', 'brandt', 'mario', 'joshua', 'reu', 'weigl', '27man', 'sané']
162;1;['giraff', 'gene', 'giraffe’', 'cardiovascular', 'neck', 'okapi', 'caven', 'fgfrl1', 'genom', 'variat']
167;1;['cain', 'yusuf', 'festiv', 'parri', 'norfolk', 'symphoni', 'norwich', 'overscor', 'franck’', 'chausson’']
169;1;['motormouthmedia', 'band', 'sex', 'tape', 'video', 'porn', 'yacht', 'yacht’', 'goldberg', 'victim']
172;1;['cattl', 'ranch', 'bundi', 'bundy’', 'blm', 'livestock', 'graze', 'land', 'feder', 'cliven’']
175;1;['satie’', 'mélodi', 'hannigan', 'troi', 'sati', 'ultradri', 'reinbert', 'polignac', 'spacious', 'antisentiment']
189;1;['brenda', 'dogood', 'disobedi', 'penguin', 'dutton', 'civil', 'peter', 'oper', 'plan', 'galloway']
208;1;['•', '25', 'lawson', 'letter', 'dishevelmenthenri', 'presentersu', 'morrisonayr', 'wallacetham', 'himselfandrew', 'postprimeministeri']
